Legacy record number,Input Date (yyyy/mm/dd),Organisation Code,Organization name,Organization type,Area of expertise,Assessment?,Emergency Response?,Recovery?,Sector,Region (if not a country) (free text),Country,Island Name,Location,Beneficiaries,Project description,Project Status,Start date (yyyy/mm/dd),End date (yyyy/mm/dd),Unique ID
3,2017/09/06,IFRC,St Kitts and Nevis Red Cross,Red Cross and Red Crescent Movement,Management,,YES,,,,Saint Kitts and Nevis,St Kitts and Nevis,Various,,"Initial CHF 61,418 - approval of Disaster Relief Emergency Fund (DREF) for support to pre-strike and immediate response operations ",Ongoing,,,165
36,2017/09/11,USG,St. Martin,Donor,Diaster Response: Transport,,YES,,,,Saint Martin (French part),St. Martin,,,"Transport of Humanitarian personnel, reliefs supplies and other critical logistics support",Planned,,,164
37,2017/09/12,Team Rubicon UK / Serve On,Team Rubicon UK / Serve On,NGO,Multi Sector,YES,YES,,,,Antigua and Barbuda,"Tortola, Virgin Gorda and
Providenciales",Various,,"light assessment team of 11, USAR, comms and generator capability.self sufficient.",Ongoing,,,163
37,2017/09/12,Team Rubicon UK / Serve On,Team Rubicon UK / Serve On,NGO,Multi Sector,YES,YES,,,,British Virgin Islands,"Tortola, Virgin Gorda and
Providenciales",Various,,"light assessment team of 7, USAR,damage impact, water filtration capability (3600 litres/day)self sufficient. Working with BVI DDM to complete assessments.",Ongoing,,,162
37,2017/09/12,Team Rubicon UK / Serve On,Team Rubicon UK / Serve On,NGO,Multi Sector,YES,YES,,,,Turks and Caicos Islands,"Tortola, Virgin Gorda and
Providenciales",Various,,Light asessment team of 5 with comms capability,Ongoing,,,161
44,2017/09/12,,The Antigua & Barbuda Red Cross,Red Cross and Red Crescent Movement,Response,,YES,,,,Antigua and Barbuda,,,,"With support from USAID/OFDA3, ABRCS is distributing relief items—such as mattresses, hygiene kits, and clean-up kits—to 1,000 hurricane-affected people in Antigua and Barbuda.
ABRC has also opened a Hurricane Irma Relief Fund to receive donations to support relief efforts in Barbuda.
Partners of ABRC include: TickeTing, The Halo Foundation, Inc., Nods- Antigua, Government of Antigua and Barbuda, USAID, the UN Refugee Agency and IFRC.
DG-ECHO has contributed EUR 18,000, AECID EUR 10,000 to the replenishment of the initial DREF allocated to Antigua and Barbuda.
IFRC is deploying surge support for assessments to the islands to support assessments (cash transfer programming). Also, a communications surge staff is also in Antigua to support the ABRC.",Ongoing,,,160
43,2017/09/12,ABRC,The Antigua & Barbuda Red Cross,Red Cross and Red Crescent Movement,Assessment,YES,YES,,,,Antigua and Barbuda,,,,conducting assessments and distributing relief items in the collective centres.,Ongoing,,,159
57,2017/09/12,ABRC,The Bahamas Red Cross,Red Cross and Red Crescent Movement,Response,,YES,,,,Bahamas,,,,"With USAID/OFDA support, the Bahamas Red Cross Society (BRCS) is providing emergency relief items to 3,000 hurricane-affected people in The Bahamas.",Ongoing,,,158
58,2017/09/12,BRCS,The Bahamas Red Cross,Red Cross and Red Crescent Movement,Response,,YES,,,,Bahamas,,,,The BRCS has on hand several volunteers who are packing food parcels and other items for distribution once initial assessments are complete.,Ongoing,,,157
59,2017/09/12,BRCS,The Bahamas Red Cross,Red Cross and Red Crescent Movement,Assessment,YES,,,,,Bahamas,,,,"Per a NEMA request, USAID/OFDA plans to support an initial overland flight to evaluate damages and related needs in the southern Bahamas once weather conditions allow.",Planned,,,156
9,2017/09/08,USAID,The Bahamas Red Cross,Red Cross and Red Crescent Movement,Diaster Response,,YES,,,,Bahamas,Southern Islands,,3000,"Initial US$100,000: For Essential Non-Food relief items including mattresses, bedding, hygiene kits, kitchen sets, and clean-up equipment",Planned,,,155
,2017/09/28,UKaid,UK aid ( Department for International Development) ,Government,Response support,Yes,Yes,Yes,,,Impacted states,"Anguilla, Barbuda, BVI, Dominica, St. Kitts/Nevis, Turks & Caicos Islands",,,,Ongoing,,,154
120,2017/09/15,UKaid,UKaid,Government,Response,,YES,,,Impacted states ,,Impacted states ,,,Child Protection,,,,153
122,2017/09/15,UN Women MCO,UN Women MCO,UN,Gender Based Violence Prevention and Reduction in shelter settings and other temporary housing; gender rapid needs assessment and PDNA; Psycho-social support; provision of relief of dignity and hygiene relief supplies,YES,YES,,,,Antigua and Barbuda,Antigua with Barbuda evacuees and Tortola,Antigua,,,"Gender segregated sanitation and bath facilities, cleaning and hygiene kits",,,152
122,2017/09/15,UN Women MCO,UN Women MCO,UN,Gender Based Violence Prevention and Reduction in shelter settings and other temporary housing; gender rapid needs assessment and PDNA; Psycho-social support; provision of relief of dignity and hygiene relief supplies,YES,YES,,,,British Virgin Islands,Antigua with Barbuda evacuees and Tortola,Antigua,,,"Installation of 1,000 litre water tanks in schools",,,151
40,2017/09/12,UN Women MCO,UN Women MCO,UN,gender hutrn specialist,YES,YES,,,,British Virgin Islands,Tortola,Various,500,,,,,150
115,2017/09/17,UNDP,UNDP,UN,Debris Management,,,YES,,,Antigua and Barbuda,Antigua and Barbuda,Barbuda,,,"A minimum of 10 litres of water daily with provision of 1,000 litre water tanks",,,149
121,2017/09/15,UNDP,UNDP,UN,Recovery,,,YES,,,British Virgin Islands,BVI,Tortola,,,Provision of material and technical support to Ministries of Education,,,148
31,2017/09/11,UNDP,UNDP,UN,Multi Sector,YES,YES,,Coordination,,Antigua and Barbuda,Antigua and Barbuda,Barbuda,,"Emergency Response Grant of USD 25,000 approved and issued to the Country Office",Ongoing,,,147
32,2017/09/11,UNDP,UNDP,UN,Multi Sector,,YES,YES,,All impacted Caribbean States expect St. Martin ,,,,,"USD 400,000 UNDP regional response and recovery programme activated providing technial advice through a roving team to national and regional authoriries.  Support can be provided in debris and waste management, emergency empolyment, livelihoods, small community intrastructure and core government functions",Planned,,,146
12,2017/09/09,UNDP,UNDP,UN,Multi Sector,YES,,,,,Turks and Caicos Islands,,Various,,1 person deployed as SURGE expert to support UNDAC assessments,Ongoing,,,145
,2017/10/02,UNICEF,UNICEF,,"Multi Sector:
Child Protection: Protection for the most vulnerable 
Education /Life Long Learning: Re-establishing the education system, incl. ECD Services
Water, Sanitation and Hygiene Promotion (WASH) : Participation and engagement of families and
children in the recovery efforts
Social Protection:  For the most vulnerable.
",,,,,,,"Anguilla, Barbuda, BVI, Dominica, St. Kitts/Nevis, Turks & Caicos Islands",Various,"Total affected population: 143,006

Total Children <18 years of age: 38,987","Dominica
UNICEF has so far distributed 20,000 litres of water and 296 family hygiene kits. Some 2,700 people now have access to clean water. Six UNICEF WASH-focussed staff members are carrying out assessments, especially in relation to the most vulnerable children.  Procurement of WASH supplies was initiated and the chosen distribution plan can be  expanded across the country. UNICEF has facilitated access to potentially lifesaving information through a text message campaign in collaboration with Flow Telecommunications which has reached nearly 33,000 people.  

Anguilla 
UNICEF is continuing to provide teaching and learning materials as a phased re-opening of schools begins October 2 to 4. The preliminary phase of the UNICEF-supported “Return to Happiness” programme has been implemented and 150 children aged 6-14 have been reached by a total of 40 trained facilitators, with 40 more to be trained in the next few days.   

Antigua and Barbuda 
Full roll out of the “Return to Happiness” programme will start on October 3. All Barbudan primary school children will be reached. Preschool for Barbudan
children (3-5) started on October 2. A total of 60 children have been integrated in various schools across Antigua.  UNICEF is working with the Ministry of Education to equip schools with furniture, teaching and learning materials and also to provide support to ensure that the estimated 300-600 students likely to arrive from Dominica can be efficiently absorbed into the school system. A Post Disaster Needs Assessment (PDNA) began on Friday September 29 involving a number of UN agencies, with UNICEF helping to facilitate the process through liaising with the Ministry of Education.  

British Virgin Islands 
UNICEF is supporting the Ministry of Education by creating temporary safe learning spaces through the provision of six tents. These have been dispatched. An additional four tents are still required.  Schools are due to re-open on October 5.

Turks and Caicos
UNICEF worked with partners including WFP, Mission of Hope and the British Army to ensure that jerry cans and water purification tablets were distributed to 230 families in Grand Turk. The agency  contributed 10 water tanks (5,000L) which reached 235 families as part of a British Army airlift of 18 tons of
relief items on October 1 to Grand Turks. UNICEF’s materials were distributed on the ground by Mission of Hope and Social Services. 

 

",,,,144
,2017/09/28,UNICEF,UNICEF,UN,"Multi Sector:
Child Protection: Protection for the most vulnerable 
Education /Life Long Learning: Re-establishing the education system, incl. ECD Services
Water, Sanitation and Hygiene Promotion (WASH) : Participation and engagement of families and
children in the recovery efforts
Social Protection:  For the most vulnerable.
",YES,YES,,,,Eastern Caribbean Area,"Anguilla, Barbuda, BVI, Dominica, St. Kitts/Nevis, Turks & Caicos Islands",Various,"Total affected population: 143,006

Total Children <18 years of age: 38,987",,,,,143
,2017/09/27,UNICEF,UNICEF,UN,"Multi Sector:
Child Protection: Protection for the most vulnerable 
Education /Life Long Learning: Re-establishing the education system, incl. ECD Services
Water, Sanitation and Hygiene Promotion (WASH) : Participation and engagement of families and
children in the recovery efforts
Social Protection:  For the most vulnerable.
",YES,YES,,,,Eastern Caribbean Area,"Anguilla, Barbuda, BVI, Dominica, St. Kitts/Nevis, Turks & Caicos Islands",Various,"Total affected population: 143,006

Total Children <18 years of age: 38,987",,,,,142
,2017/09/25,UNICEF,UNICEF,UN,"Multi Sector:
Child Protection: Protection for the most vulnerable 
Education /Life Long Learning: Re-establishing the education system, incl. ECD Services
Water, Sanitation and Hygiene Promotion (WASH) : Participation and engagement of families and
children in the recovery efforts
Social Protection:  For the most vulnerable.
",YES,YES,,,,Eastern Caribbean Area,"Anguilla, Barbuda, BVI, Dominica, St. Kitts/Nevis, Turks & Caicos Islands",Various,"Total affected population: 143,006

Total Children <18 years of age: 38,987",,Ongoing,,,141
103,2017/09/25,UNICEF,UNICEF,UN,"Multi Sector:
Child Protection: Protection for the most vulnerable 
Education /Life Long Learning: Re-establishing the education system, incl. ECD Services
Water, Sanitation and Hygiene Promotion (WASH) : Participation and engagement of families and
children in the recovery efforts
Social Protection:  For the most vulnerable.
",YES,YES,,,,Eastern Caribbean Area,"Anguilla, Barbuda, BVI, Dominica, St. Kitts/Nevis, Turks & Caicos Islands",Various,"Total affected population: 143,006

Total Children <18 years of age: 38,987",,Ongoing,,,140
103,2017/09/14,UNICEF,UNICEF,UN,Multi Sector,YES,YES,,,,Anguilla,"Anguilla, Antigua and Barbuda, BVI, TCI",Various,"19,000",Other areas:,,,,139
103,2017/09/14,UNICEF,UNICEF,UN,Multi Sector,YES,YES,,,,Antigua and Barbuda,"Anguilla, Antigua and Barbuda, BVI, TCI",Various,"19,000",•,Ongoing,,,138
103,2017/09/14,UNICEF,UNICEF,UN,Multi Sector,YES,YES,,,,Turks and Caicos Islands,"Anguilla, Antigua and Barbuda, BVI, TCI",Various,"19,000","5 staff members deployed to Antigua and Barbuda, Anguilla, TCI and BVI to undertake assessments particularly focussing on child protection and education sector management, water and sanitation, shelter management, communication for development needs and planning for psychosocial support of children start-up. Rapid Needs Assessment Tool has also been developed and shared with deployed colleagues to facilitate data gathering and sharing. Psychosocial support programme for children Return to Happiness starting on 14 September for Barbudan children in Antigua. Supplies pre-positioned in Antigua being distributed and pre-positioned supplies in Barbados in process for despatch to Antigua for onward distribution in Anguilla, BVI and TCI.  Supplies currently available for distribution: 7 tents (72 sq. m), 2 tents (42 sq. m), 90 School-in-a-box kits, 16 Recreation kits, 300 School bags (back packs), 645 Dignity and Family Hygiene Kits, 20 ECD Kits, 14 Recreational Kits, 238 ORS, 2,080 Water Purification tablets. Supplies to be ordered for distribution include: 69 1000 litre water tanks, 193 ECD Kits, 309 School-in-a-box kits, 135 Recreation kits, and 69 tents. Start-up of UNICEF Coordination Office Hub in Antigua to better facilitate our response and coordination with other devleopment partners has also commenced.",Ongoing,,,137
,2017/10/04,UNDP,United Nations Development Programme,UN Agency,Recovery ,,,YES,Multi-sector,Eastern Caribbean,Dominica,,,,Senior UNDP officer deployed to serve as head of the Crises Management Unit based on the request from the Prime Minister,Ongoing,,,136
33,2017/09/11,UNOPS,UNOPS,UN,Infrastructure/procurement,,YES,,,All impacted Caribbean States expect St. Martin ,, ,,,Offer of infrastructure and building engineers to support assessments,Planned,,,135
102,2017/09/13,USAID,USAID,Donor,Diaster Response,,YES,,,,Saint Martin (French part),French St. Martin,,,"Initial US$100,000: To meet immediate humanitarian needs",Ongoing,,,134
35,2017/09/11,USAID,USAID,Donor,Diaster Response,,YES,,,France/The Netherlands,,St. Martin,,,8 Person Disaster Assistance Response Team (DART): Needs Assessment and Response Coordination,Ongoing,,,133
118,2017/09/14,USAID/US DOD,USAID/US DOD,Donor,Response,,YES,,,,Saint Martin (French part),French St. Martin,,,"2 desalination units—with the combined capacity to produce approximately 13,630 liters of safe drinking water per day—in Sandy Ground",Ongoing,,,132
42,2017/09/12,WFP,WFP,UN,Food,YES,,,Food Security,,Antigua and Barbuda,,,,Available 13.12 MTof High Energy Biscuits for the region,Planned,,,131
41,2017/09/12,WFP,WFP,UN,Food,YES,YES,,Food Security,,Sint Maarten (Dutch part),,,,Distribute 16.23 MT of High Energy Biscuits (as of 20 September 2.22 mt HEB distributed by Samaritan´s Purse),Ongoing,,,130
,2017/10/09,WFP,World Food Programme,UN Agency,"Food Security, Logistics, Emergency Telecoms",YES,YES,YES,Food Security,,Dominica,,,,"
•	As of 6 October, the Government of Dominica, with the assistance of its partners and WFP has dispatched enough food assistance to cover the food security needs of around half of the population in over 80 locations/villages of the country (out of 100) for an average period of three days. Over 100 MT of food have been delivered so far, out of which 17 MT were High Energy Biscuits (HEBs) provided by WFP.
•	WFP provided the necessary logistical coordination support to ensure that most food distributions were accompanied with water. Over 89,000 litres of water have been delivered.
•	Under the leadership of the Government, WFP is also providing technical assistance to ensure that distributions are as transparent and protection sensitive as possible at the local level. A meeting with District Development Officers and Social Welfare Officers was held to review distribution guidelines. WFP has deployed staff to support planning and distributions in coordination with national and local authorities.
•	Plans are underway to provide food assistance to up to 25,000 people for three months. Depending on the time needed for the reactivation of markets, WFP could provide both direct assistance through an initial in kind ration followed by cash-based transfers designed to meet immediate needs as well as support local economic recovery. WFP and other partners have begun to map the status of markets and food supply.
•	Under Government leadership, the Food Security and Livelihoods Sector held its first meeting, co-chaired by WFP, with the objective of reviewing the food security situation, distributions carried out so far and immediate requirements.
",Ongoing,,,129
,2017/10/09,WFP,World Food Programme,UN Agency,"Food Security, Logistics, Emergency Telecoms",YES,YES,YES,Logistics,,Dominica,,,,"•	Logistics partners created a 55m x 75m safe landing zone at the port for helicopters to use for emergency relief dispatch from the port, freeing up trucks for land dispatch.
•	WFP organized the dispatch of some 100 MT of Government and WFP food supplies.
•	Logistics partners facilitated the medical evacuation of five Dominican nationals with UK military assets.
•	WFP coordinated the dispatch of relief items, food and water to various locations in Dominica via the Dutch vessel HNLMS Zeeland and its helicopter assets, the Canadian vessel CNS St. John and its helicopter assets; the UK vessel RNS Ocean and its helicopter assets; and USAID’s Office of US Foreign Disaster Assistance and the US Department of Defense.
•	WFP continues to support the berthing of ships at Roseau port and coordinating security at the port with the Barbados and Trinidad and Tobago Coast Guard.
•	WFP is supporting the Government to rehabilitate 1,200m2 of warehouse space at Roseau port.
",Ongoing,,,128
,2017/10/09,WFP,World Food Programme,UN Agency,"Food Security, Logistics, Emergency Telecoms",YES,YES,YES,Emergency Telecoms,,Dominica,,,,"
•        More than 2,000 unique users are registered on the expanding ETC networks in Roseau and Douglas-Charles airport area in Melville.
•        Ericsson Response/Emergency.lu is providing ETC connectivity to eight locations in Roseau, and four in Douglas-Charles airport, Marigot and Wesley.
•        Drone mapping was done for seven areas in the South and the North to register the damage, including in Roseau and Louisville, Castle Bruce, Marigot, Wesley, Woodford Hills and Calibishie. The recordings areavailable at https://tinyurl.com/y77g9lpq 
•        Services for Communities (S4C) established connectivity for the affected communities by means of hotspots at the Wesley health center and the Marigot community center.
•        Discussions with mobile network operations for sending bulk SMS to communities to receive humanitarian support information are ongoing.",Ongoing,,,127
,2017/10/04,WFP,World Food Programme,UN Agency,"Food Security, Logistics, Emergency Telecoms",,YES,YES,Emergency Telecoms,,Dominica,,Roseau and Marigot,,"•        ETC connected a total of 13 locations in Roseau and Marigot, over 650 users with over 1000 devices registered
•        Soon the ETC network will be connected to local internet (fiber) connectivity from ISP EPIC
•        Two Ericsson response teams on ground for ETC support in Roseau and Douglas-Charles airport
•        The health center in Wesley was connected and the local community can make use of the network as a part of Services for Communities (S4C)
",Ongoing,,,126
,2017/10/03,WFP,World Food Programme,UN Agency,"Food Security, Logistics, Emergency Telecommunications",YES,YES,,Food,,Turks and Caicos Islands,,,,"WFP food assistance for the Hurricane Irma response in Turks and Caicos (TCI) complemented the immediate assistance provided by governments, United Nations agencies and non-governmental organizations with the objective to provide emergency food assistance to affected people. A total of 9.63 mt of High-Energy Biscuits (HEBs) were transported to TCI to cover the need of 4,800 people for 5 days across the islands. Distributions were initially done jointly with the Department of Disaster Management and Emergencies and the Social Services Department and other organizations, with final distributions handed over fully to the authorities and an NGO.  ",Completed,,,125
,2017/10/03,WFP,World Food Programme,UN Agency,"Food Security, Logistics, Emergency Telecommunications",YES,YES,,Food,,Sint Maarten (Dutch part),,,,"WFP in cooperation with Samaritan´s Purse brought some 12 mt of High-Energy Biscuits (HEBs) to Sint Maarten. The HEBs were distributed as part of a mixed package of food and non-food items to thousands of hurricane affected people through NGOs, institutions and the authorities.",Completed,,,124
,2017/10/03,WFP,World Food Programme,UN Agency,"Food Security, Logistics, Emergency Telecommunications",YES,YES,,Logistics,,Antigua and Barbuda,,,,"•        The Logistics sector working group in Antigua, continues to coordinate with actors on the ground to support the consolidation and facilitation of cargo bound for Dominica and other hurricane-affected countries. 
•        The last rotation of relief supplies for Dominica on board the Netherlands navy vessel Pelikaan, was completed on 02 October, with cargo consolidated on behalf of 4 humanitarian organisations and cooperation agencies. 
•        Regular Logistics Coordination meetings are being held at St John. Schedule and meeting minutes are available on the logistics cluster website. 
•        Upon request of the Government of Antigua and Barbuda, WFP mobilised and will install a Mobile Storage Unit (MSU) in Barbuda to augment existing storage capacity and facilitate reconstructions efforts.
•        UNHAS aircraft continues to provide regular rotations from Antigua to Dominica. The air asset is primarily used for the transportation of humanitarian responders and some light cargo.",Ongoing,,,123
,2017/10/03,WFP,World Food Programme,UN Agency,"Food Security, Logistics, Emergency Telecommunications",YES,YES,,Logistics,,Turks and Caicos Islands,,,,"•	WFP-managed United Nations Humanitarian Response Depot (UNHRD) supported UNICEF, ADRA and WFP with air transport of relief and support equipment stored in the Panama UNHRD, including Logistics support equipment such as mobile storage units, generators, pallets and prefabricated offices; and school in a box kits, recreation kits and tarpaulins.
•	The Logistics hub and support equipment on Turks and Caicos island have been handed over to local authorities for continued support of the operation and WFP has left the island.
",Completed,,,122
,2017/10/03,WFP,World Food Programme,UN Agency,"Food Security, Logistics, Emergency Telecommunications",YES,YES,,Logistics,,Sint Maarten (Dutch part),,,,"•	Following logistical coordination support to national disaster management authorities during the initial stages of the response, the logistics hub established in Sint Marteen has now been phased out. 
•	WFP has coordinated with militaries in the region for support to humanitarian actors for transport. A Dutch military vessel has done two rotation from Sint Maarten and Antigua to Dominica.
",Completed,,,121
,2017/10/03,WFP,World Food Programme,UN Agency,"Food Security, Logistics, Emergency Telecommunications",YES,YES,,Logistics,,Barbados,,,,"•	Information Management capacity in Barbados continues to liaise with the coordination cell at the Caribbean Disaster Emergency Management Agency (CDEMA), and humanitarian organisations, cooperating agencies and other relief stakeholders to ensure a coordinated response.",Ongoing,,,120
,2017/10/03,WFP,World Food Programme,UN Agency,"Food Security, Logistics, Emergency Telecommunications",YES,YES,,Emergency Telecommunications,,Antigua and Barbuda,,,,"•	Services for communities (S4C) conducted an information needs assessment for Barbuda, and it is exploring options to provide internet connectivity to the Barbuda population at the community kitchen. 
•	Supporting aid agencies on ground to connect with local media to inform communities.
•	Assessments and service gaps coordinated with CDEMA on the connectivity needs for Anguilla & British Virgin Islands
•	Collaboration with GSMA and local mobile network providers on the restoration efforts of services in Anguilla, British Virgin Islands and Sint Marteen ensuring connectivity needs where placed where most needed and avoid duplication of efforts
",,,,119
,2017/10/03,WFP,World Food Programme,UN Agency,"Food Security, Logistics, Emergency Telecommunications",YES,YES,,Emergency Telecommunications,,Sint Maarten (Dutch part),,,,•	VSAT Services were set up at the airport as well as the Government Emergency Center during the initial phase until connectivity was reestablished. This service served government entities as well as humanitarian community.,,,,118
,,,,,,,,,,,,,,,,,,,117
128,2017/09/15,,,Red Cross Red Crescent Movement,Response,,YES,,,Region,,,,,,Provision of post-disaster rehabilitation to children’s homes,,,116
,2017/09/20,CRS,Catholic Relief Services,NGO,Response,YES,YES,YES,Cash Transfer,,British Virgin Islands,"Tortola, Virgin Gorda","District 1,2,3,5 : Cane Garen Bay, Carrott Bay, Sea Cow Bay, Huntun's Ghut",2000,(1). Delivered to the government of Haiti 20 satellite phones including Begans. (2). Delivered,Planned,,,115
,2017/09/20,UNFPA,United Nations Population Fund ,UN ,Multi-sector ,YES,YES,,,Region ,,,,,"UNFPA is assisting with surge support in the areas of Gender-Based Violence Coordination, Sexual and Reproductive Health, and Communication in emergencies, with an immediate focus on the needs of the Barbuda population, in collaboration with Government, UN and other partners. The surge specialists will also assist other impacted countries including British Virgin Islands, St. Maarten and Turks and Caicos Islands. UNFPA collaborated with UN Women to distribute dignity/hygiene kits to women and girls who were evacuated from Barbuda. ",Ongoing,,,114
,2017/09/20,UNFPA,United Nations Population Fund ,UN ,Multi-sector ,YES,YES,,,Region ,,,,,– Technical Staff also went to the country as technical,,,,113
,2017/09/20,UNFPA,United Nations Population Fund ,UN ,Multi-sector ,YES,YES,,,Region ,,,,,"support. (3).Based on the requests from the governments of Antigua and Barbuda, the British Virgin Islands (BVI), Turks & Caicos Islands and Anguilla to the United Nations Children's Fund (UNICEF), 5 satellite phones have been dispatched. (4). Based on a similar request from these islands, 3 Satellite phones were deployed to UN Women.",,,,112
,2017/09/20,UNFPA,United Nations Population Fund ,UN ,Multi-sector ,YES,YES,,,Region ,,,,,"(5).There is a request in progress from UNDP – Trinidad, for 3 phones and from the government of Dominica",,,,111
,2017/09/20,UNFPA,United Nations Population Fund ,UN ,Multi-sector ,YES,YES,,,Region ,,,,,for 15 satellite phones. (6) ITU is also working  closely with and providing other support to WFP for telecommuncation assistances to the affected countries.,,,,110
,2017/09/20,WFP,World Food Programme,UN,Food Security,NO,YES,,Food Security,,Turks and Caicos Islands,,,,"Distribution of High Energy Biscuits (HEBs) to most vulnerable groups affected by the hurricane (including elderly people, families with children, pregnant and lactating women, disabled, people in shelter). Out of 9.66 MT: 4.11 MT distributed as of 20 September ",Ongoing,42991,,109
,2017/09/21,CARPHA,Caribbean Public Health Agency,CARICOM/Public Health,Assessment,YES,,,Public Health,,Dominica,,,various,One member of staff (WASH expert) currently deployed to Dominica as part of CDEMA's RNAT.,Ongoing,,,108
,2017/09/21,GAC,Global Affairs Canada,Government,Assessment,YES,,,,,Dominica,,,,Canadian Air Force undertaking aerial reconnaissance of Dominica to assess impacts,Ongoing,2017/09/20,,107
,2017/09/21,GAC,Global Affairs Canada,Government,Assessment,YES,,,,,Dominica,,,,Canadian Disaster Assessment Team undertaking assessment in Dominica,Completed,2017/09/21,2017/09/25,106
,2017/09/21,GAC,Global Affairs Canada,Government,Assessment,YES,,,,,Dominica,,,,Canadian airports specialist inserted with RNAT in Dominica,Completed,2017/09/21,2017/09/26,105
,2017/09/21,WFP,World Food Programme,UN,Food Security,YES,,,Food Security,,Dominica,,,,Ongoing assessment for Food Security needs,Ongoing,42991,,104
,2017/09/15,IOM,International Organization for Migration,UN,Shelter/CCCM/Displacement Tracking,,YES,,CCCM,,Sint Maarten (Dutch part),,,1800,"Supported government in disseminating early warning messages to the public. Prepositioning of core relief items including food and water in all evacuation centres (capacity 2,140 people)",Completed,,2017/09/17,103
,2017/09/15,IOM,International Organization for Migration,UN,Shelter/CCCM/Displacement Tracking,,YES,,CCCM,,Sint Maarten (Dutch part),,,50,50 site managers (volunteers from Red Cross and K1 Britannia Foundation) trained by IOM and Dutch Marine personnel on basic evacuation centre management,Completed,,2017/09/17,102
,2017/09/21,IOM,International Organization for Migration,UN,Shelter/CCCM/Displacement Tracking,,YES,,Shelter,,Sint Maarten (Dutch part),,,,Distribution of tarpaulins for emergency shelter,Ongoing,,,101
,2017/09/21,IOM,International Organization for Migration,UN,Shelter/CCCM/Displacement Tracking,YES,,,,,Sint Maarten (Dutch part),,,,Development of tailored assistance modalities for irregular migrants (Dominicans and Haitians),Ongoing,,,100
,2017/09/21,IOM,International Organization for Migration,UN,Shelter/CCCM/Displacement Tracking,YES,,,CCM/Shelter/Protection,,Dominica,,,,Global CCCM coordinator on initial assessment mission to Dominica. Widespread shelter and infrastructure damage.,Completed,2017/09/21,2017/09/21,99
,2017/09/21,IOM,International Organization for Migration,UN,Protection,YES,YES,,Protection,,Dominica,,,,"Identification of third party nationals, majority of whom wish to be repatriated. Liaising with IOM movement departments and relevant authorities to coordinate assistance",Ongoing,2017/09/21,,98
,2017/09/23,WFP,World Food Programme,UN,Food Security,,YES,,Food Security,,Dominica,,,,"1,033 cartons of High Energecy Biscuits",Ongoing,2017/09/23,2017/09/24,97
,2017/09/23,WFP,World Food Programme,UN,Logistics,,YES,,Logistics,,Dominica,,,,"2 Mobile Storage Units (10x24mt); Generator, Plastic Pallets, Tarp Roll",Ongoing,2017/09/23,,96
,2017/09/23,WFP,World Food Programme,UN,Logistics,,YES,,Logistics,,Antigua and Barbuda,,,,"The second Logistics sector meeting was held in St John’s. Main points discussed were: online tracking matrix to be populated by humanitarian organisations in order to allow for better planning, maximize resources, and avoid congestions; possibility of expanding storage capacity at the airport if needed through erection of MSU; UNHAS air service schedule and possible incoming cargo aircraft to be based in Antigua; connectivity provision in Dominica and Barbuda. Next meeting planned for Monday 25 September.",Ongoing,2017/09/22,,95
,2017/09/23,WFP,World Food Programme,UN,Logistics,,YES,,Logistics,,Antigua and Barbuda,,,,"UNHAS Air Service from Antigua servicing Dominica, BVI, St Marteen and Anguilla has started",Ongoing,,,94
,2017/09/23,WFP,World Food Programme,UN,Emergency Telecoms,YES,YES,,Emergency Telecoms,,Dominica,,,,"Connectivity secured at Dominica's Emergency Response Centre and will be linking to airport, port, other governmental buildings and humanitarian actors as per needs",Ongoing,2017/09/21,,93
,2017/09/23,WFP,World Food Programme,UN,Food Security,,YES,,Food Security,,Sint Maarten (Dutch part),,,,New dispatches have been made for the distribution of HIgh Energy Buiscuits. To-date a total of 2.23mt have been distributed through local authorties and implementing partners,Ongoing,,,92
,2017/09/23,WFP,World Food Programme,UN,Food Security,,YES,,Food Security,,Turks and Caicos Islands,,,,"New distribution plans for High Energy Biscuits drafted, and ongoing work on development of rapid needs assessment with local authorities and humanitarian responders",Ongoing,,,91
,2017/09/25,IOM,International Organization for Migration,UN,Shelter/CCCM/Displacement Tracking,,YES,,Shelter/CCCM/Displacement Tracking,,Dominica,,,,"IOM has allocated USD 100,000 of its internal funding for rapid scale up of shelter response on Dominica and is in discussions with donors about further funding.",Ongoing,,,90
,2017/09/25,IOM,International Organization for Migration,UN,Shelter/CCCM/Displacement Tracking,YES,YES,,Shelter/CCCM/Displacement Tracking,,Dominica,,,,"Four IOM surge team members are currently on Dominica: the emergency response manager, shelter specialist, senior regional emergency specialist and a logistician",Ongoing,,,89
,2017/09/25,IOM,International Organization for Migration,UN,Shelter/CCCM/Displacement Tracking,YES,YES,,Shelter/CCCM/Displacement Tracking,,Dominica,,,,"A shelter coordination meeting was chaired by the Assistant Commissioner at the Operations Centre on 24 September with the attendance of IOM, OFDA, DFID, IFRC, MapAction and IOM to discuss initial planning for the shelter response. Of the 143 hurricane shelters on Dominica, they have information about the shelters in St Joseph and St Paul parishes reportedly sheltering 1,445 people in overcrowded conditions.",Completed,,,88
